onset	duration	trial_type	value	sample	Baseline_temp	Cond_Block	ISI	ITI_pre	Mov_start	Pos_Block	RatingExp	RatingS1	RatingS2	Rep	Run	Stim_dur	Stim_temp	Subject	Task	Trial	X1	X2	Y1	Y2	aborted	decision	decisionRT	file	Lasershot	StimNr	invalid_trials
13.231	0.125	1st/repetition	12	26462	20.0	CHOICE_B	1.0	11.1028	3.6617	J	n/a	49	53	1	1	0.125	59.0	es06	detection	1	12	12	0	10	0	n/a	n/a	sub-es06_00_0002.txt	1.0	1	0
14.2305	0.125	2nd/repetition	22	28461	20.0	CHOICE_B	1.0	11.1028	3.6617	J	n/a	49	53	1	1	0.125	59.0	es06	detection	1	12	12	0	10	0	n/a	n/a	sub-es06_00_0002.txt	1.0	2	0
27.962	0.125	1st/repetition	12	55924	20.0	CHOICE_B	1.0	10.2019	3.2378	J	n/a	49	53	1	1	0.125	59.0	es06	detection	2	36	36	20	30	0	2.0	0.7823280048370361	sub-es06_00_0002.txt	1.0	1	0
28.962	0.125	2nd/repetition	22	57924	20.0	CHOICE_B	1.0	10.2019	3.2378	J	n/a	49	53	1	1	0.125	59.0	es06	detection	2	36	36	20	30	0	2.0	0.7823280048370361	sub-es06_00_0002.txt	1.0	2	0
41.3025	0.125	1st/omission	11	82605	20.0	CHOICE_B	1.0	8.818999999999999	2.8418	J	n/a	49	53	0	1	0.125	59.0	es06	detection	3	12	12	20	30	0	1.0	0.8214009952545166	sub-es06_00_0002.txt	1.0	1	0
42.3025	0.125	2nd/omission	21	84605	20.0	CHOICE_B	1.0	8.818999999999999	2.8418	J	n/a	49	53	0	1	0.125	59.0	es06	detection	3	12	12	20	30	0	1.0	0.8214009952545166	sub-es06_00_0002.txt	1.0	2	0
55.254	0.125	Abort	99	110508	20.0	CHOICE_B	1.0	9.1988	3.5787	J	n/a	49	53	0	1	0.125	59.0	es06	detection	4	36	36	0	10	-99	n/a	n/a	n/a	-99.0	1	0
71.5315	0.125	1st/omission	11	143063	20.0	CHOICE_B	1.0	9.9362	5.281000000000001	J	n/a	49	53	0	1	0.125	59.0	es06	detection	5	36	36	40	50	0	1.0	0.4282320690155029	sub-es06_00_0003.txt	1.0	1	0
72.532	0.125	2nd/omission	21	145064	20.0	CHOICE_B	1.0	9.9362	5.281000000000001	J	n/a	49	53	0	1	0.125	59.0	es06	detection	5	36	36	40	50	0	1.0	0.4282320690155029	sub-es06_00_0003.txt	1.0	2	0
86.935	0.125	1st/repetition	12	173870	20.0	CHOICE_B	1.0	10.6447	2.4459	J	n/a	49	53	1	1	0.125	59.0	es06	detection	6	12	12	40	50	0	2.0	0.6328359794616699	sub-es06_00_0003.txt	1.0	1	0
