onset	duration	trial_type	value	sample	Baseline_temp	Cond_Block	ISI	ITI_pre	Mov_start	Pos_Block	RatingExp	RatingS1	RatingS2	Rep	Run	Stim_dur	Stim_temp	Subject	Task	Trial	X1	X2	Y1	Y2	aborted	decision	decisionRT	file	Lasershot	StimNr	invalid_trials
25.4655	0.125	1st/omission/expected	111	50931	20.0	LOW_C	1.0	9.9703	3.0973	L	24.0	44	50	0	3	0.125	59.0	es06	expsupp	1	12	12	20	30	0	n/a	n/a	sub-es06_00_0012.txt	1.0	1	0
26.4655	0.125	2nd/omission/expected	211	52931	20.0	LOW_C	1.0	9.9703	3.0973	L	24.0	44	50	0	3	0.125	59.0	es06	expsupp	1	12	12	20	30	0	n/a	n/a	sub-es06_00_0012.txt	1.0	2	0
36.2685	0.125	1st/omission/expected	111	72537	20.0	LOW_C	1.0	9.5606	4.1215	L	24.0	44	50	0	3	0.125	59.0	es06	expsupp	2	36	36	20	30	0	n/a	n/a	sub-es06_00_0012.txt	1.0	1	0
37.2685	0.125	2nd/omission/expected	211	74537	20.0	LOW_C	1.0	9.5606	4.1215	L	24.0	44	50	0	3	0.125	59.0	es06	expsupp	2	36	36	20	30	0	n/a	n/a	sub-es06_00_0012.txt	1.0	2	0
48.661	0.125	1st/repetition/unexpected	122	97322	20.0	LOW_C	1.0	11.1459	3.6563	L	24.0	44	50	1	3	0.125	59.0	es06	expsupp	3	12	12	0	10	0	n/a	n/a	sub-es06_00_0012.txt	1.0	1	0
49.661	0.125	2nd/repetition/unexpected	222	99322	20.0	LOW_C	1.0	11.1459	3.6563	L	24.0	44	50	1	3	0.125	59.0	es06	expsupp	3	12	12	0	10	0	n/a	n/a	sub-es06_00_0012.txt	1.0	2	0
57.959	0.125	1st/omission/expected	111	115918	20.0	LOW_C	1.0	8.2826	3.5816	L	24.0	44	50	0	3	0.125	59.0	es06	expsupp	4	36	36	0	10	0	n/a	n/a	sub-es06_00_0012.txt	1.0	1	0
58.959	0.125	2nd/omission/expected	211	117918	20.0	LOW_C	1.0	8.2826	3.5816	L	24.0	44	50	0	3	0.125	59.0	es06	expsupp	4	36	36	0	10	0	n/a	n/a	sub-es06_00_0012.txt	1.0	2	0
68.2845	0.125	1st/omission/expected	111	136569	20.0	LOW_C	1.0	9.0794	2.4404	L	24.0	44	50	0	3	0.125	59.0	es06	expsupp	5	48	48	40	50	0	n/a	n/a	sub-es06_00_0012.txt	1.0	1	0
69.2845	0.125	2nd/omission/expected	211	138569	20.0	LOW_C	1.0	9.0794	2.4404	L	24.0	44	50	0	3	0.125	59.0	es06	expsupp	5	48	48	40	50	0	n/a	n/a	sub-es06_00_0012.txt	1.0	2	0
