onset	duration	trial_type	value	sample	Baseline_temp	Cond_Block	ISI	ITI_pre	Mov_start	Pos_Block	RatingExp	RatingS1	RatingS2	Rep	Run	Stim_dur	Stim_temp	Subject	Task	Trial	X1	X2	Y1	Y2	aborted	decision	decisionRT	file	Lasershot	StimNr	invalid_trials
12.7295	0.125	1st/repetition	12	25459	20.0	CHOICE_A	1.0	9.673	5.1125	B	n/a	50	53	1	2	0.125	59.0	es06	detection	1	36	36	0	10	0	2.0	0.6702638816833496	sub-es06_00_0029.txt	1.0	1	0
13.729	0.125	2nd/repetition	22	27458	20.0	CHOICE_A	1.0	9.673	5.1125	B	n/a	50	53	1	2	0.125	59.0	es06	detection	1	36	36	0	10	0	2.0	0.6702638816833496	sub-es06_00_0029.txt	1.0	2	0
26.2875	0.125	1st/repetition	12	52575	20.0	CHOICE_A	1.0	9.0337	2.8437	B	n/a	50	53	1	2	0.125	59.0	es06	detection	2	12	12	10	20	0	2.0	0.6252158832550049	sub-es06_00_0029.txt	1.0	1	0
27.288	0.125	2nd/repetition	22	54576	20.0	CHOICE_A	1.0	9.0337	2.8437	B	n/a	50	53	1	2	0.125	59.0	es06	detection	2	12	12	10	20	0	2.0	0.6252158832550049	sub-es06_00_0029.txt	1.0	2	0
39.542	0.125	1st/omission	11	79084	20.0	CHOICE_A	1.0	8.7337	3.741	B	n/a	50	53	0	2	0.125	59.0	es06	detection	3	48	48	40	50	0	1.0	0.4724889945983886	sub-es06_00_0029.txt	1.0	1	0
40.542	0.125	2nd/omission	21	81084	20.0	CHOICE_A	1.0	8.7337	3.741	B	n/a	50	53	0	2	0.125	59.0	es06	detection	3	48	48	40	50	0	1.0	0.4724889945983886	sub-es06_00_0029.txt	1.0	2	0
54.1345	0.125	1st/omission	11	108269	20.0	CHOICE_A	1.0	9.8406	2.3503	B	n/a	50	53	0	2	0.125	59.0	es06	detection	4	24	24	40	50	0	1.0	0.4386888694763183	sub-es06_00_0029.txt	1.0	1	0
55.1345	0.125	2nd/omission	21	110269	20.0	CHOICE_A	1.0	9.8406	2.3503	B	n/a	50	53	0	2	0.125	59.0	es06	detection	4	24	24	40	50	0	1.0	0.4386888694763183	sub-es06_00_0029.txt	1.0	2	0
68.8155	0.125	1st/omission	11	137631	20.0	CHOICE_A	1.0	9.9284	3.4094	B	n/a	50	53	0	2	0.125	59.0	es06	detection	5	48	48	10	20	0	1.0	0.4523349952697754	sub-es06_00_0029.txt	1.0	1	0
69.8155	0.125	2nd/omission	21	139631	20.0	CHOICE_A	1.0	9.9284	3.4094	B	n/a	50	53	0	2	0.125	59.0	es06	detection	5	48	48	10	20	0	1.0	0.4523349952697754	sub-es06_00_0029.txt	1.0	2	0
85.388	0.125	1st/repetition	12	170776	20.0	CHOICE_A	1.0	11.8198	2.7429	B	n/a	50	53	1	2	0.125	59.0	es06	detection	6	24	24	20	30	0	2.0	0.4329670619964599	sub-es06_00_0029.txt	1.0	1	0
86.388	0.125	2nd/repetition	22	172776	20.0	CHOICE_A	1.0	11.8198	2.7429	B	n/a	50	53	1	2	0.125	59.0	es06	detection	6	24	24	20	30	0	2.0	0.4329670619964599	sub-es06_00_0029.txt	1.0	2	0
101.177	0.125	1st/repetition	12	202354	20.0	CHOICE_A	1.0	11.2669	6.082999999999999	B	n/a	50	53	1	2	0.125	59.0	es06	detection	7	48	48	30	40	0	1.0	0.858318920135498	sub-es06_00_0029.txt	1.0	1	0
102.177	0.125	2nd/repetition	22	204354	20.0	CHOICE_A	1.0	11.2669	6.082999999999999	B	n/a	50	53	1	2	0.125	59.0	es06	detection	7	48	48	30	40	0	1.0	0.858318920135498	sub-es06_00_0029.txt	1.0	2	0
