onset	duration	trial_type	value	sample	Baseline_temp	Cond_Block	ISI	ITI_pre	Mov_start	Pos_Block	RatingExp	RatingS1	RatingS2	Rep	Run	Stim_dur	Stim_temp	Subject	Task	Trial	X1	X2	Y1	Y2	aborted	decision	decisionRT	file	Lasershot	StimNr	invalid_trials
28.381	0.125	1st/repetition/expected	121	56762	20.0	HIGH_C	1.0	10.9854	5.1895	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	1	24	24	20	30	0	n/a	n/a	sub-es17_00_0036.txt	1.0	1	0
29.381	0.125	2nd/repetition/expected	221	58762	20.0	HIGH_C	1.0	10.9854	5.1895	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	1	24	24	20	30	0	n/a	n/a	sub-es17_00_0036.txt	1.0	2	0
38.9375	0.125	1st/repetition/expected	121	77875	20.0	HIGH_C	1.0	9.5483	2.5988	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	2	0	0	40	50	0	n/a	n/a	sub-es17_00_0036.txt	1.0	1	0
39.9375	0.125	2nd/repetition/expected	221	79875	20.0	HIGH_C	1.0	9.5483	2.5988	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	2	0	0	40	50	0	n/a	n/a	sub-es17_00_0036.txt	1.0	2	0
50.2975	0.125	1st/repetition/expected	121	100595	20.0	HIGH_C	1.0	10.3453	4.0076	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	3	36	36	20	30	0	n/a	n/a	sub-es17_00_0036.txt	1.0	1	0
51.2975	0.125	2nd/repetition/expected	221	102595	20.0	HIGH_C	1.0	10.3453	4.0076	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	3	36	36	20	30	0	n/a	n/a	sub-es17_00_0036.txt	1.0	2	0
60.258	0.125	1st/omission/unexpected	112	120516	20.0	HIGH_C	1.0	8.9454	2.6713	H	83.0	64	68	0	6	0.125	59.0	es17	expsupp	4	0	0	20	30	0	n/a	n/a	sub-es17_00_0036.txt	1.0	1	0
61.258	0.125	2nd/omission/unexpected	212	122516	20.0	HIGH_C	1.0	8.9454	2.6713	H	83.0	64	68	0	6	0.125	59.0	es17	expsupp	4	0	0	20	30	0	n/a	n/a	sub-es17_00_0036.txt	1.0	2	0
73.459	0.125	1st/repetition/expected	121	146918	20.0	HIGH_C	1.0	11.9545	2.6438	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	5	36	36	40	50	0	n/a	n/a	sub-es17_00_0036.txt	1.0	1	0
74.459	0.125	2nd/repetition/expected	221	148918	20.0	HIGH_C	1.0	11.9545	2.6438	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	5	36	36	40	50	0	n/a	n/a	sub-es17_00_0036.txt	1.0	2	0
84.83	0.125	1st/repetition/expected	121	169660	20.0	HIGH_C	1.0	10.3551	4.3878	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	6	24	24	0	10	0	n/a	n/a	sub-es17_00_0036.txt	1.0	1	0
85.83	0.125	2nd/repetition/expected	221	171660	20.0	HIGH_C	1.0	10.3551	4.3878	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	6	24	24	0	10	0	n/a	n/a	sub-es17_00_0036.txt	1.0	2	0
94.6405	0.125	1st/repetition/expected	121	189281	20.0	HIGH_C	1.0	8.7963	2.7399	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	7	12	12	40	50	0	n/a	n/a	sub-es17_00_0036.txt	1.0	1	0
95.6405	0.125	2nd/repetition/expected	221	191281	20.0	HIGH_C	1.0	8.7963	2.7399	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	7	12	12	40	50	0	n/a	n/a	sub-es17_00_0036.txt	1.0	2	0
107.616	0.125	1st/omission/unexpected	112	215232	20.0	HIGH_C	1.0	11.9607	3.3463	H	83.0	64	68	0	6	0.125	59.0	es17	expsupp	8	48	48	0	10	0	n/a	n/a	sub-es17_00_0036.txt	1.0	1	0
108.6155	0.125	2nd/omission/unexpected	212	217231	20.0	HIGH_C	1.0	11.9607	3.3463	H	83.0	64	68	0	6	0.125	59.0	es17	expsupp	8	48	48	0	10	0	n/a	n/a	sub-es17_00_0036.txt	1.0	2	0
120.2745	0.125	1st/repetition/expected	121	240549	20.0	HIGH_C	1.0	11.4124	3.847	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	9	24	24	40	50	0	n/a	n/a	sub-es17_00_0036.txt	1.0	1	0
121.275	0.125	2nd/repetition/expected	221	242550	20.0	HIGH_C	1.0	11.4124	3.847	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	9	24	24	40	50	0	n/a	n/a	sub-es17_00_0036.txt	1.0	2	0
130.6665	0.125	1st/repetition/expected	121	261333	20.0	HIGH_C	1.0	9.3765	3.4703	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	10	48	48	20	30	0	n/a	n/a	sub-es17_00_0036.txt	1.0	1	0
131.6665	0.125	2nd/repetition/expected	221	263333	20.0	HIGH_C	1.0	9.3765	3.4703	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	10	48	48	20	30	0	n/a	n/a	sub-es17_00_0036.txt	1.0	2	0
142.31	0.125	1st/repetition/expected	121	284620	20.0	HIGH_C	1.0	10.6282	5.2233	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	11	12	12	20	30	0	n/a	n/a	sub-es17_00_0036.txt	1.0	1	0
143.31	0.125	2nd/repetition/expected	221	286620	20.0	HIGH_C	1.0	10.6282	5.2233	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	11	12	12	20	30	0	n/a	n/a	sub-es17_00_0036.txt	1.0	2	0
155.054	0.125	1st/omission/unexpected	112	310108	20.0	HIGH_C	1.0	11.7322	4.4336	H	83.0	64	68	0	6	0.125	59.0	es17	expsupp	12	48	48	40	50	0	n/a	n/a	sub-es17_00_0036.txt	1.0	1	0
156.0545	0.125	2nd/omission/unexpected	212	312109	20.0	HIGH_C	1.0	11.7322	4.4336	H	83.0	64	68	0	6	0.125	59.0	es17	expsupp	12	48	48	40	50	0	n/a	n/a	sub-es17_00_0036.txt	1.0	2	0
166.5385	0.125	1st/repetition/expected	121	333077	20.0	HIGH_C	1.0	10.2363	2.9974	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	13	12	12	0	10	0	n/a	n/a	sub-es17_00_0036.txt	1.0	1	0
167.538	0.125	2nd/repetition/expected	221	335076	20.0	HIGH_C	1.0	10.2363	2.9974	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	13	12	12	0	10	0	n/a	n/a	sub-es17_00_0036.txt	1.0	2	0
178.022	0.125	1st/repetition/expected	121	356044	20.0	HIGH_C	1.0	10.4684	2.2668	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	14	0	0	40	50	0	n/a	n/a	sub-es17_00_0036.txt	1.0	1	0
179.022	0.125	2nd/repetition/expected	221	358044	20.0	HIGH_C	1.0	10.4684	2.2668	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	14	0	0	40	50	0	n/a	n/a	sub-es17_00_0036.txt	1.0	2	0
188.913	0.125	1st/repetition/expected	121	377826	20.0	HIGH_C	1.0	9.876	2.0653	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	15	24	24	20	30	0	n/a	n/a	sub-es17_00_0036.txt	1.0	1	0
189.913	0.125	2nd/repetition/expected	221	379826	20.0	HIGH_C	1.0	9.876	2.0653	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	15	24	24	20	30	0	n/a	n/a	sub-es17_00_0036.txt	1.0	2	0
201.9065	0.125	1st/omission/unexpected	112	403813	20.0	HIGH_C	1.0	11.9793	6.0785	H	83.0	64	68	0	6	0.125	59.0	es17	expsupp	16	0	0	0	10	1	n/a	n/a	sub-es17_00_0036.txt	1.0	1	0
202.906	0.125	2nd/omission/unexpected	212	405812	20.0	HIGH_C	1.0	11.9793	6.0785	H	83.0	64	68	0	6	0.125	59.0	es17	expsupp	16	0	0	0	10	1	n/a	n/a	sub-es17_00_0036.txt	1.0	2	0
214.8805	0.125	1st/repetition/expected	121	429761	20.0	HIGH_C	1.0	11.7339	4.7237	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	17	36	36	0	10	0	n/a	n/a	sub-es17_00_0037.txt	1.0	1	0
215.8805	0.125	2nd/repetition/expected	221	431761	20.0	HIGH_C	1.0	11.7339	4.7237	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	17	36	36	0	10	0	n/a	n/a	sub-es17_00_0037.txt	1.0	2	0
224.008	0.125	1st/repetition/expected	121	448016	20.0	HIGH_C	1.0	8.113	2.3413	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	18	0	0	20	30	0	n/a	n/a	sub-es17_00_0037.txt	1.0	1	0
225.0075	0.125	2nd/repetition/expected	221	450015	20.0	HIGH_C	1.0	8.113	2.3413	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	18	0	0	20	30	0	n/a	n/a	sub-es17_00_0037.txt	1.0	2	0
234.817	0.125	1st/repetition/expected	121	469634	20.0	HIGH_C	1.0	9.7936	2.8815	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	19	24	24	40	50	0	n/a	n/a	sub-es17_00_0037.txt	1.0	1	0
235.8175	0.125	2nd/repetition/expected	221	471635	20.0	HIGH_C	1.0	9.7936	2.8815	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	19	24	24	40	50	0	n/a	n/a	sub-es17_00_0037.txt	1.0	2	0
245.192	0.125	1st/omission/unexpected	112	490384	20.0	HIGH_C	1.0	9.3599	4.8106	H	83.0	64	68	0	6	0.125	59.0	es17	expsupp	20	24	24	0	10	0	n/a	n/a	sub-es17_00_0037.txt	1.0	1	0
246.1915	0.125	2nd/omission/unexpected	212	492383	20.0	HIGH_C	1.0	9.3599	4.8106	H	83.0	64	68	0	6	0.125	59.0	es17	expsupp	20	24	24	0	10	0	n/a	n/a	sub-es17_00_0037.txt	1.0	2	0
255.0615	0.125	1st/repetition/expected	121	510123	20.0	HIGH_C	1.0	8.623	2.0801	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	21	48	48	0	10	0	n/a	n/a	sub-es17_00_0037.txt	1.0	1	0
256.0615	0.125	2nd/repetition/expected	221	512123	20.0	HIGH_C	1.0	8.623	2.0801	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	21	48	48	0	10	0	n/a	n/a	sub-es17_00_0037.txt	1.0	2	0
265.259	0.125	1st/omission/unexpected	112	530518	20.0	HIGH_C	1.0	9.1826	2.9891	H	83.0	64	68	0	6	0.125	59.0	es17	expsupp	22	36	36	40	50	0	n/a	n/a	sub-es17_00_0037.txt	1.0	1	0
266.259	0.125	2nd/omission/unexpected	212	532518	20.0	HIGH_C	1.0	9.1826	2.9891	H	83.0	64	68	0	6	0.125	59.0	es17	expsupp	22	36	36	40	50	0	n/a	n/a	sub-es17_00_0037.txt	1.0	2	0
277.375	0.125	1st/repetition/expected	121	554750	20.0	HIGH_C	1.0	10.869000000000002	5.8237	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	23	12	12	40	50	0	n/a	n/a	sub-es17_00_0037.txt	1.0	1	0
278.3745	0.125	2nd/repetition/expected	221	556749	20.0	HIGH_C	1.0	10.869000000000002	5.8237	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	23	12	12	40	50	0	n/a	n/a	sub-es17_00_0037.txt	1.0	2	0
288.337	0.125	1st/repetition/expected	121	576674	20.0	HIGH_C	1.0	9.948	4.4827	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	24	48	48	20	30	0	n/a	n/a	sub-es17_00_0037.txt	1.0	1	0
289.337	0.125	2nd/repetition/expected	221	578674	20.0	HIGH_C	1.0	9.948	4.4827	H	83.0	64	68	1	6	0.125	59.0	es17	expsupp	24	48	48	20	30	0	n/a	n/a	sub-es17_00_0037.txt	1.0	2	0
