onset	duration	trial_type	value	sample	Baseline_temp	Cond_Block	ISI	ITI_pre	Mov_start	Pos_Block	RatingExp	RatingS1	RatingS2	Rep	Run	Stim_dur	Stim_temp	Subject	Task	Trial	X1	X2	Y1	Y2	aborted	decision	decisionRT	file	Lasershot	StimNr	invalid_trials
23.3185	0.125	1st/omission/expected	111	46637	20.0	LOW_A	1.0	8.5165	3.8073	I	24.0	30	35	0	8	0.125	59.0	es31	expsupp	1	12	12	20	30	0	n/a	n/a	sub-es31_00_0019.txt	1.0	1	0
24.318	0.125	2nd/omission/expected	211	48636	20.0	LOW_A	1.0	8.5165	3.8073	I	24.0	30	35	0	8	0.125	59.0	es31	expsupp	1	12	12	20	30	0	n/a	n/a	sub-es31_00_0019.txt	1.0	2	0
34.6285	0.125	1st/omission/expected	111	69257	20.0	LOW_A	1.0	10.0663	4.269	I	24.0	30	35	0	8	0.125	59.0	es31	expsupp	2	36	36	20	30	0	n/a	n/a	sub-es31_00_0019.txt	1.0	1	0
35.629	0.125	2nd/omission/expected	211	71258	20.0	LOW_A	1.0	10.0663	4.269	I	24.0	30	35	0	8	0.125	59.0	es31	expsupp	2	36	36	20	30	0	n/a	n/a	sub-es31_00_0019.txt	1.0	2	0
47.8245	0.125	1st/omission/expected	111	95649	20.0	LOW_A	1.0	11.9481	3.4198	I	24.0	30	35	0	8	0.125	59.0	es31	expsupp	3	0	0	40	50	0	n/a	n/a	sub-es31_00_0019.txt	1.0	1	0
48.8245	0.125	2nd/omission/expected	211	97649	20.0	LOW_A	1.0	11.9481	3.4198	I	24.0	30	35	0	8	0.125	59.0	es31	expsupp	3	0	0	40	50	0	n/a	n/a	sub-es31_00_0019.txt	1.0	2	0
61.0375	0.125	1st/repetition/unexpected	122	122075	20.0	LOW_A	1.0	11.9665	4.2829	I	24.0	30	35	1	8	0.125	59.0	es31	expsupp	4	0	0	0	10	0	n/a	n/a	sub-es31_00_0019.txt	1.0	1	0
62.0375	0.125	2nd/repetition/unexpected	222	124075	20.0	LOW_A	1.0	11.9665	4.2829	I	24.0	30	35	1	8	0.125	59.0	es31	expsupp	4	0	0	0	10	0	n/a	n/a	sub-es31_00_0019.txt	1.0	2	0
70.6835	0.125	1st/omission/expected	111	141367	20.0	LOW_A	1.0	8.6311	3.5714	I	24.0	30	35	0	8	0.125	59.0	es31	expsupp	5	24	24	20	30	0	n/a	n/a	sub-es31_00_0019.txt	1.0	1	0
71.6835	0.125	2nd/omission/expected	211	143367	20.0	LOW_A	1.0	8.6311	3.5714	I	24.0	30	35	0	8	0.125	59.0	es31	expsupp	5	24	24	20	30	0	n/a	n/a	sub-es31_00_0019.txt	1.0	2	0
