onset	duration	trial_type	value	sample	Baseline_temp	Cond_Block	ISI	ITI_pre	Mov_start	Pos_Block	RatingExp	RatingS1	RatingS2	Rep	Run	Stim_dur	Stim_temp	Subject	Task	Trial	X1	X2	Y1	Y2	aborted	decision	decisionRT	file	Lasershot	StimNr	invalid_trials
12.26	0.125	1st/repetition	12	24520	20.0	CHOICE_A	1.0	9.673	5.1125	G	n/a	27	49	1	1	0.125	59.0	es34	detection	1	24	24	20	30	0	n/a	n/a	sub-es34_00_0008.txt	1.0	1	0
13.26	0.125	2nd/repetition	22	26520	20.0	CHOICE_A	1.0	9.673	5.1125	G	n/a	27	49	1	1	0.125	59.0	es34	detection	1	24	24	20	30	0	n/a	n/a	sub-es34_00_0008.txt	1.0	2	0
25.8245	0.125	1st/repetition	12	51649	20.0	CHOICE_A	1.0	9.0337	2.8437	G	n/a	27	49	1	1	0.125	59.0	es34	detection	2	0	0	0	10	0	2.0	0.6989430141448975	sub-es34_00_0008.txt	1.0	1	0
26.8245	0.125	2nd/repetition	22	53649	20.0	CHOICE_A	1.0	9.0337	2.8437	G	n/a	27	49	1	1	0.125	59.0	es34	detection	2	0	0	0	10	0	2.0	0.6989430141448975	sub-es34_00_0008.txt	1.0	2	0
39.081	0.125	1st/omission	11	78162	20.0	CHOICE_A	1.0	8.7337	3.741	G	n/a	27	49	0	1	0.125	59.0	es34	detection	3	12	12	40	50	0	1.0	1.2483550262451173	sub-es34_00_0008.txt	1.0	1	0
40.081	0.125	2nd/omission	21	80162	20.0	CHOICE_A	1.0	8.7337	3.741	G	n/a	27	49	0	1	0.125	59.0	es34	detection	3	12	12	40	50	0	1.0	1.2483550262451173	sub-es34_00_0008.txt	1.0	2	0
53.6755	0.125	Abort	99	107351	20.0	CHOICE_A	1.0	9.8406	2.3503	G	n/a	27	49	0	1	0.125	59.0	es34	detection	4	36	36	0	10	-99	n/a	n/a	n/a	-99.0	1	0
65.7935	0.125	1st/omission	11	131587	20.0	CHOICE_A	1.0	9.9284	3.4094	G	n/a	27	49	0	1	0.125	59.0	es34	detection	5	12	12	0	10	0	1.0	1.668090934753418	sub-es34_00_0009.txt	1.0	1	0
66.793	0.125	2nd/omission	21	133586	20.0	CHOICE_A	1.0	9.9284	3.4094	G	n/a	27	49	0	1	0.125	59.0	es34	detection	5	12	12	0	10	0	1.0	1.668090934753418	sub-es34_00_0009.txt	1.0	2	0
82.368	0.125	1st/repetition	12	164736	20.0	CHOICE_A	1.0	11.8198	2.7429	G	n/a	27	49	1	1	0.125	59.0	es34	detection	6	36	36	20	30	0	2.0	0.653411979675293	sub-es34_00_0009.txt	1.0	1	0
83.368	0.125	2nd/repetition	22	166736	20.0	CHOICE_A	1.0	11.8198	2.7429	G	n/a	27	49	1	1	0.125	59.0	es34	detection	6	36	36	20	30	0	2.0	0.653411979675293	sub-es34_00_0009.txt	1.0	2	0
98.159	0.125	1st/repetition	12	196318	20.0	CHOICE_A	1.0	11.2669	6.082999999999999	G	n/a	27	49	1	1	0.125	59.0	es34	detection	7	12	12	20	30	0	2.0	0.5345309925079346	sub-es34_00_0009.txt	1.0	1	0
99.1595	0.125	2nd/repetition	22	198319	20.0	CHOICE_A	1.0	11.2669	6.082999999999999	G	n/a	27	49	1	1	0.125	59.0	es34	detection	7	12	12	20	30	0	2.0	0.5345309925079346	sub-es34_00_0009.txt	1.0	2	0
113.184	0.125	1st/omission	11	226368	20.0	CHOICE_A	1.0	10.4935	5.3672	G	n/a	27	49	0	1	0.125	59.0	es34	detection	8	48	48	20	30	0	1.0	0.8364669036865234	sub-es34_00_0009.txt	1.0	1	0
114.184	0.125	2nd/omission	21	228368	20.0	CHOICE_A	1.0	10.4935	5.3672	G	n/a	27	49	0	1	0.125	59.0	es34	detection	8	48	48	20	30	0	1.0	0.8364669036865234	sub-es34_00_0009.txt	1.0	2	0
129.3525	0.125	1st/repetition	12	258705	20.0	CHOICE_A	1.0	11.4159	5.2561	G	n/a	27	49	1	1	0.125	59.0	es34	detection	9	0	0	20	30	0	2.0	0.5969959449768066	sub-es34_00_0009.txt	1.0	1	0
