onset	duration	trial_type	value	sample	Baseline_temp	Cond_Block	ISI	ITI_pre	Mov_start	Pos_Block	RatingExp	RatingS1	RatingS2	Rep	Run	Stim_dur	Stim_temp	Subject	Task	Trial	X1	X2	Y1	Y2	aborted	decision	decisionRT	file	Lasershot	StimNr	invalid_trials
21.2485	0.125	1st/omission/expected	111	42497	20.0	LOW_D	1.0	8.1832	2.4609	B	34.0	48	55	0	3	0.125	59.0	es40	expsupp	1	36	36	0	10	0	n/a	n/a	sub-es40_00_0007.txt	1.0	1	0
22.248	0.125	2nd/omission/expected	211	44496	20.0	LOW_D	1.0	8.1832	2.4609	B	34.0	48	55	0	3	0.125	59.0	es40	expsupp	1	36	36	0	10	0	n/a	n/a	sub-es40_00_0007.txt	1.0	2	0
31.713	0.125	1st/omission/expected	111	63426	20.0	LOW_D	1.0	9.2217	2.6882	B	34.0	48	55	0	3	0.125	59.0	es40	expsupp	2	12	12	10	20	0	n/a	n/a	sub-es40_00_0007.txt	1.0	1	0
32.713	0.125	2nd/omission/expected	211	65426	20.0	LOW_D	1.0	9.2217	2.6882	B	34.0	48	55	0	3	0.125	59.0	es40	expsupp	2	12	12	10	20	0	n/a	n/a	sub-es40_00_0007.txt	1.0	2	0
44.331	0.125	1st/omission/expected	111	88662	20.0	LOW_D	1.0	11.371	4.4048	B	34.0	48	55	0	3	0.125	59.0	es40	expsupp	3	48	48	40	50	0	n/a	n/a	sub-es40_00_0007.txt	1.0	1	0
45.331	0.125	2nd/omission/expected	211	90662	20.0	LOW_D	1.0	11.371	4.4048	B	34.0	48	55	0	3	0.125	59.0	es40	expsupp	3	48	48	40	50	0	n/a	n/a	sub-es40_00_0007.txt	1.0	2	0
56.081	0.125	1st/repetition/unexpected	122	112162	20.0	LOW_D	1.0	10.5037	2.8085	B	34.0	48	55	1	3	0.125	59.0	es40	expsupp	4	24	24	40	50	0	n/a	n/a	sub-es40_00_0007.txt	1.0	1	0
57.081	0.125	2nd/repetition/unexpected	222	114162	20.0	LOW_D	1.0	10.5037	2.8085	B	34.0	48	55	1	3	0.125	59.0	es40	expsupp	4	24	24	40	50	0	n/a	n/a	sub-es40_00_0007.txt	1.0	2	0
67.215	0.125	1st/omission/expected	111	134430	20.0	LOW_D	1.0	10.1196	3.3859	B	34.0	48	55	0	3	0.125	59.0	es40	expsupp	5	48	48	10	20	0	n/a	n/a	sub-es40_00_0007.txt	1.0	1	0
68.215	0.125	2nd/omission/expected	211	136430	20.0	LOW_D	1.0	10.1196	3.3859	B	34.0	48	55	0	3	0.125	59.0	es40	expsupp	5	48	48	10	20	0	n/a	n/a	sub-es40_00_0007.txt	1.0	2	0
80.1265	0.125	1st/omission/expected	111	160253	20.0	LOW_D	1.0	11.6646	4.9128	B	34.0	48	55	0	3	0.125	59.0	es40	expsupp	6	24	24	20	30	0	n/a	n/a	sub-es40_00_0007.txt	1.0	1	0
81.126	0.125	2nd/omission/expected	211	162252	20.0	LOW_D	1.0	11.6646	4.9128	B	34.0	48	55	0	3	0.125	59.0	es40	expsupp	6	24	24	20	30	0	n/a	n/a	sub-es40_00_0007.txt	1.0	2	0
91.361	0.125	1st/omission/expected	111	182722	20.0	LOW_D	1.0	9.9878	4.7136	B	34.0	48	55	0	3	0.125	59.0	es40	expsupp	7	48	48	30	40	0	n/a	n/a	sub-es40_00_0007.txt	1.0	1	0
92.361	0.125	2nd/omission/expected	211	184722	20.0	LOW_D	1.0	9.9878	4.7136	B	34.0	48	55	0	3	0.125	59.0	es40	expsupp	7	48	48	30	40	0	n/a	n/a	sub-es40_00_0007.txt	1.0	2	0
102.4335	0.125	1st/repetition/unexpected	122	204867	20.0	LOW_D	1.0	9.825	2.6982	B	34.0	48	55	1	3	0.125	59.0	es40	expsupp	8	12	12	0	10	0	n/a	n/a	sub-es40_00_0007.txt	1.0	1	0
103.433	0.125	2nd/repetition/unexpected	222	206866	20.0	LOW_D	1.0	9.825	2.6982	B	34.0	48	55	1	3	0.125	59.0	es40	expsupp	8	12	12	0	10	0	n/a	n/a	sub-es40_00_0007.txt	1.0	2	0
