onset	duration	trial_type	value	sample	Baseline_temp	Cond_Block	ISI	ITI_pre	Mov_start	Pos_Block	RatingExp	RatingS1	RatingS2	Rep	Run	Stim_dur	Stim_temp	Subject	Task	Trial	X1	X2	Y1	Y2	aborted	decision	decisionRT	file	Lasershot	StimNr	invalid_trials
25.328	0.125	1st/repetition/unexpected	122	50656	20.0	LOW_B	1.0	9.9585	5.2333	D	14.0	58	61	1	7	0.125	59.0	es40	expsupp	1	24	24	0	10	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
26.328	0.125	2nd/repetition/unexpected	222	52656	20.0	LOW_B	1.0	9.9585	5.2333	D	14.0	58	61	1	7	0.125	59.0	es40	expsupp	1	24	24	0	10	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
37.6515	0.125	1st/omission/expected	111	75303	20.0	LOW_B	1.0	11.3148	3.3384	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	2	48	48	0	10	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
38.651	0.125	2nd/omission/expected	211	77302	20.0	LOW_B	1.0	11.3148	3.3384	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	2	48	48	0	10	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
48.4345	0.125	1st/omission/expected	111	96869	20.0	LOW_B	1.0	9.5356	2.8622	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	3	24	24	20	30	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
49.435	0.125	2nd/omission/expected	211	98870	20.0	LOW_B	1.0	9.5356	2.8622	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	3	24	24	20	30	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
57.894	0.125	1st/omission/expected	111	115788	20.0	LOW_B	1.0	8.2125	2.0955	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	4	48	48	40	50	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
58.8935	0.125	2nd/omission/expected	211	117787	20.0	LOW_B	1.0	8.2125	2.0955	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	4	48	48	40	50	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
68.3055	0.125	1st/repetition/unexpected	122	136611	20.0	LOW_B	1.0	9.1647	2.5348	D	14.0	58	61	1	7	0.125	59.0	es40	expsupp	5	12	12	40	50	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
69.3055	0.125	2nd/repetition/unexpected	222	138611	20.0	LOW_B	1.0	9.1647	2.5348	D	14.0	58	61	1	7	0.125	59.0	es40	expsupp	5	12	12	40	50	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
81.0875	0.125	1st/omission/expected	111	162175	20.0	LOW_B	1.0	11.7671	6.2917	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	6	12	12	0	10	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
82.0875	0.125	2nd/omission/expected	211	164175	20.0	LOW_B	1.0	11.7671	6.2917	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	6	12	12	0	10	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
90.39	0.125	1st/omission/expected	111	180780	20.0	LOW_B	1.0	8.0555	2.6117	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	7	36	36	20	30	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
91.39	0.125	2nd/omission/expected	211	182780	20.0	LOW_B	1.0	8.0555	2.6117	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	7	36	36	20	30	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
102.3145	0.125	1st/omission/expected	111	204629	20.0	LOW_B	1.0	10.6783	5.509	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	8	0	0	0	10	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
103.3145	0.125	2nd/omission/expected	211	206629	20.0	LOW_B	1.0	10.6783	5.509	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	8	0	0	0	10	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
115.468	0.125	1st/repetition/unexpected	122	230936	20.0	LOW_B	1.0	11.9068	2.1972	D	14.0	58	61	1	7	0.125	59.0	es40	expsupp	9	48	48	20	30	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
116.4685	0.125	2nd/repetition/unexpected	222	232937	20.0	LOW_B	1.0	11.9068	2.1972	D	14.0	58	61	1	7	0.125	59.0	es40	expsupp	9	48	48	20	30	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
126.0455	0.125	1st/omission/expected	111	252091	20.0	LOW_B	1.0	9.5623	3.9925	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	10	24	24	40	50	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
127.0455	0.125	2nd/omission/expected	211	254091	20.0	LOW_B	1.0	9.5623	3.9925	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	10	24	24	40	50	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
136.5475	0.125	1st/omission/expected	111	273095	20.0	LOW_B	1.0	9.2561	4.3906	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	11	24	24	0	10	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
137.547	0.125	2nd/omission/expected	211	275094	20.0	LOW_B	1.0	9.2561	4.3906	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	11	24	24	0	10	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
146.785	0.125	1st/omission/expected	111	293570	20.0	LOW_B	1.0	8.9898	4.0464	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	12	0	0	20	30	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
147.7845	0.125	2nd/omission/expected	211	295569	20.0	LOW_B	1.0	8.9898	4.0464	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	12	0	0	20	30	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
157.61	0.125	1st/repetition/unexpected	122	315220	20.0	LOW_B	1.0	9.5785	4.828	D	14.0	58	61	1	7	0.125	59.0	es40	expsupp	13	36	36	40	50	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
158.61	0.125	2nd/repetition/unexpected	222	317220	20.0	LOW_B	1.0	9.5785	4.828	D	14.0	58	61	1	7	0.125	59.0	es40	expsupp	13	36	36	40	50	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
167.253	0.125	1st/omission/expected	111	334506	20.0	LOW_B	1.0	8.6254	2.4168	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	14	36	36	0	10	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
168.2535	0.125	2nd/omission/expected	211	336507	20.0	LOW_B	1.0	8.6254	2.4168	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	14	36	36	0	10	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
177.7805	0.125	1st/omission/expected	111	355561	20.0	LOW_B	1.0	9.2821	3.0621	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	15	12	12	20	30	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
178.7805	0.125	2nd/omission/expected	211	357561	20.0	LOW_B	1.0	9.2821	3.0621	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	15	12	12	20	30	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
189.0545	0.125	1st/omission/expected	111	378109	20.0	LOW_B	1.0	10.0272	5.3673	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	16	48	48	0	10	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
190.0545	0.125	2nd/omission/expected	211	380109	20.0	LOW_B	1.0	10.0272	5.3673	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	16	48	48	0	10	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
200.2	0.125	1st/repetition/unexpected	122	400400	20.0	LOW_B	1.0	9.8991	3.1752	D	14.0	58	61	1	7	0.125	59.0	es40	expsupp	17	0	0	0	10	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
201.2	0.125	2nd/repetition/unexpected	222	402400	20.0	LOW_B	1.0	9.8991	3.1752	D	14.0	58	61	1	7	0.125	59.0	es40	expsupp	17	0	0	0	10	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
211.6235	0.125	1st/omission/expected	111	423247	20.0	LOW_B	1.0	10.4079	3.9307	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	18	24	24	20	30	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
212.623	0.125	2nd/omission/expected	211	425246	20.0	LOW_B	1.0	10.4079	3.9307	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	18	24	24	20	30	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
224.152	0.125	1st/omission/expected	111	448304	20.0	LOW_B	1.0	11.2824	3.545	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	19	0	0	20	30	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
225.152	0.125	2nd/omission/expected	211	450304	20.0	LOW_B	1.0	11.2824	3.545	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	19	0	0	20	30	0	n/a	n/a	sub-es40_00_0011.txt	1.0	2	0
234.634	0.125	1st/omission/expected	111	469268	20.0	LOW_B	1.0	9.2347	3.4039	D	14.0	58	61	0	7	0.125	59.0	es40	expsupp	20	24	24	0	10	0	n/a	n/a	sub-es40_00_0011.txt	1.0	1	0
