onset	duration	trial_type	value	sample	Baseline_temp	Cond_Block	ISI	ITI_pre	Mov_start	Pos_Block	RatingExp	RatingS1	RatingS2	Rep	Run	Stim_dur	Stim_temp	Subject	Task	Trial	X1	X2	Y1	Y2	aborted	decision	decisionRT	file	Lasershot	StimNr	invalid_trials
26.631	0.125	1st/repetition/unexpected	122	53262	20.0	LOW_B	1.0	9.9585	5.2333	C	37.0	45	24	1	3	0.125	59.0	es42	expsupp	1	24	24	20	30	0	n/a	n/a	sub-es42_00_0010.txt	1.0	1	0
27.631	0.125	2nd/repetition/unexpected	222	55262	20.0	LOW_B	1.0	9.9585	5.2333	C	37.0	45	24	1	3	0.125	59.0	es42	expsupp	1	24	24	20	30	0	n/a	n/a	sub-es42_00_0010.txt	1.0	2	0
38.954	0.125	1st/omission/expected	111	77908	20.0	LOW_B	1.0	11.3148	3.3384	C	37.0	45	24	0	3	0.125	59.0	es42	expsupp	2	48	48	30	40	0	n/a	n/a	sub-es42_00_0010.txt	1.0	1	0
39.954	0.125	2nd/omission/expected	211	79908	20.0	LOW_B	1.0	11.3148	3.3384	C	37.0	45	24	0	3	0.125	59.0	es42	expsupp	2	48	48	30	40	0	n/a	n/a	sub-es42_00_0010.txt	1.0	2	0
49.737	0.125	1st/omission/expected	111	99474	20.0	LOW_B	1.0	9.5356	2.8622	C	37.0	45	24	0	3	0.125	59.0	es42	expsupp	3	24	24	40	50	0	n/a	n/a	sub-es42_00_0010.txt	1.0	1	0
50.7365	0.125	2nd/omission/expected	211	101473	20.0	LOW_B	1.0	9.5356	2.8622	C	37.0	45	24	0	3	0.125	59.0	es42	expsupp	3	24	24	40	50	0	n/a	n/a	sub-es42_00_0010.txt	1.0	2	0
59.196	0.125	1st/omission/expected	111	118392	20.0	LOW_B	1.0	8.2125	2.0955	C	37.0	45	24	0	3	0.125	59.0	es42	expsupp	4	24	24	0	10	0	n/a	n/a	sub-es42_00_0010.txt	1.0	1	0
60.1955	0.125	2nd/omission/expected	211	120391	20.0	LOW_B	1.0	8.2125	2.0955	C	37.0	45	24	0	3	0.125	59.0	es42	expsupp	4	24	24	0	10	0	n/a	n/a	sub-es42_00_0010.txt	1.0	2	0
69.608	0.125	1st/repetition/unexpected	122	139216	20.0	LOW_B	1.0	9.1647	2.5348	C	37.0	45	24	1	3	0.125	59.0	es42	expsupp	5	0	0	20	30	0	n/a	n/a	sub-es42_00_0010.txt	1.0	1	0
70.608	0.125	2nd/repetition/unexpected	222	141216	20.0	LOW_B	1.0	9.1647	2.5348	C	37.0	45	24	1	3	0.125	59.0	es42	expsupp	5	0	0	20	30	0	n/a	n/a	sub-es42_00_0010.txt	1.0	2	0
